date,symbol,box_score,range_high_5d,range_low_5d,range_pct,range_position_pct,high_tests,low_tests,adr_util_today,vwap_dist_pct,sma_slope_pct,avg_daily_vol_5d,price,num_trades,total_pnl,best_trade_pnl,worst_trade_pnl,win_rate,avg_hold_minutes,exit_reasons,skip_reason
2026-01-29,UBER,6.45,83.56,79.73,4.8,35.5,2,3,0.666,0.19,0.0,13401824,81.09,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-29,JD,6.28,30.02,28.82,4.16,60.8,3,3,0.562,0.35,0.3,6320599,29.55,1,59.78,59.78,59.78,1.0,291.0,time_stop,
2026-01-29,KO,6.22,74.09,71.77,3.23,69.4,3,2,0.513,0.06,1.1,9217977,73.38,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-29,LI,6.18,17.55,16.53,6.17,60.8,2,2,0.65,0.69,-0.16,2213854,17.15,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-29,USB,5.41,56.7,55.28,2.57,53.5,4,4,0.721,0.24,0.61,6934320,56.04,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-30,PYPL,8.26,57.12,52.06,9.72,6.9,2,2,0.57,0.28,-2.16,11405563,52.41,2,89.58,54.9,34.68,1.0,169.5,tiered_vwap_partial|time_stop,
2026-01-30,KVUE,8.17,17.89,17.13,4.44,10.5,2,3,0.466,0.1,0.26,45543469,17.21,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-30,AAL,7.89,14.78,13.17,12.22,18.0,2,2,0.469,0.19,-2.77,54283121,13.46,2,18.18,36.54,-18.36,0.5,109.0,tiered_vwap_partial|time_stop,
2026-01-30,OKTA,7.7,92.7,84.0,10.36,10.6,3,2,0.621,0.6,0.26,1279202,84.92,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-30,KMI,7.21,30.57,28.99,5.45,82.9,3,2,0.325,0.19,2.33,12290893,30.3,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-30,WFC,6.91,91.05,86.84,4.85,95.7,2,3,0.384,0.35,-1.44,10368509,90.87,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-30,LI,6.71,17.55,16.53,6.17,32.4,2,2,0.547,0.46,-0.25,2375956,16.86,1,-89.46,-89.46,-89.46,0.0,285.0,time_stop,
2026-01-30,BAC,6.67,53.41,51.31,4.09,90.0,2,3,0.373,0.29,-1.44,21994451,53.2,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-30,TFC,6.53,51.67,49.59,4.19,89.9,2,2,0.556,0.04,0.4,6979150,51.46,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-30,USB,6.11,56.7,55.32,2.49,65.2,4,5,0.421,0.06,0.77,5632243,56.22,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-02,DKNG,8.22,31.1,27.2,14.34,12.6,3,2,0.337,0.52,-4.3,12419443,27.69,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-02,JD,8.07,29.82,28.18,5.82,14.0,3,2,0.544,0.06,-0.14,6650910,28.41,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-02,LI,7.91,17.55,16.46,6.62,14.7,2,3,0.531,0.25,-0.51,2514819,16.62,1,-62.4,-62.4,-62.4,0.0,113.0,time_stop,
2026-02-02,ETSY,7.85,60.14,52.54,14.47,0.9,2,2,0.553,1.32,-0.26,1634918,52.61,2,67.07,42.75,24.32,1.0,161.0,tiered_vwap_partial|time_stop,
2026-02-02,GM,7.28,87.31,82.41,5.95,24.7,2,2,0.461,0.52,0.93,6674828,83.62,2,85.2,51.66,33.54,1.0,197.5,tiered_vwap_partial|time_stop,
2026-02-02,LYFT,7.26,18.13,16.6,9.22,22.2,2,2,0.667,0.18,-2.8,9604234,16.94,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-02,ZM,6.86,97.58,89.73,8.75,27.1,2,2,0.646,0.4,2.23,2331713,91.86,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-02,PFE,6.76,26.83,25.75,4.19,69.4,2,4,0.388,0.19,1.26,40212255,26.5,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-02,OKTA,6.5,92.7,84.0,10.36,27.6,2,3,0.611,0.93,0.35,1351456,86.4,0,0.0,0.0,0.0,0.0,0.0,,
