date,time_et_or_event,equity
session_open,float,30000.0
2026-04-29,15:29:00,177365.34
2026-04-29,16:03:00,178703.46
2026-04-29,16:48:00,178921.54
2026-04-29,16:53:00,179276.61
2026-04-29,18:06:00,180082.73
2026-04-29,18:49:00,180536.67
2026-04-29,18:52:00,180649.23
2026-04-29,19:25:00,180816.9
2026-04-29,19:39:00,181155.74
2026-04-29,19:51:00,181810.49
2026-04-29,19:58:00,181032.89
2026-04-30,04:00:00,180400.61
2026-04-30,05:07:00,181477.25
2026-04-30,06:01:00,181605.42
2026-04-30,06:27:00,184357.78
2026-04-30,08:30:00,183990.26
2026-04-30,08:57:00,183501.59
2026-04-30,12:51:00,184110.63
2026-04-30,14:25:00,184612.23
2026-04-30,16:25:00,185690.36
2026-04-30,17:37:00,184752.13
2026-04-30,17:50:00,184853.43
2026-04-30,17:51:00,185041.76
2026-04-30,18:54:00,184802.28
2026-04-30,19:02:00,184534.91
2026-04-30,19:40:00,185914.69
2026-05-01,04:54:00,184414.75
2026-05-01,05:45:00,184048.64
2026-05-01,05:45:00,184361.36
2026-05-01,05:47:00,185387.91
2026-05-01,08:56:00,184766.66
2026-05-01,09:04:00,184996.26
2026-05-01,09:22:00,184996.26
2026-05-01,09:36:00,184637.11
2026-05-01,11:52:00,184208.78
2026-05-01,12:31:00,184464.34
2026-05-01,13:23:00,183783.2
2026-05-01,13:25:00,184029.34
2026-05-01,14:41:00,183750.72
2026-05-01,15:05:00,183378.18
2026-05-01,15:22:00,183784.43
2026-05-01,15:36:00,183042.99
2026-05-01,15:37:00,183444.82
2026-05-01,16:22:00,181944.95
2026-05-01,16:39:00,182389.02
2026-05-01,16:43:00,182516.47
2026-05-01,16:54:00,182023.84
2026-05-01,17:37:00,181471.4
2026-05-01,18:03:00,181739.61
2026-05-01,18:29:00,180831.23
2026-05-01,19:02:00,180448.83
2026-05-01,19:22:00,179556.56
2026-05-01,19:46:00,178777.89
2026-05-04,05:21:00,178377.99
2026-05-04,06:56:00,178847.83
2026-05-04,07:13:00,178561.43
2026-05-04,07:23:00,179072.89
2026-05-04,08:34:00,178947.9
2026-05-04,09:05:00,177903.63
2026-05-04,09:32:00,179562.6
2026-05-04,11:11:00,180294.35
2026-05-04,12:17:00,180630.33
2026-05-04,12:26:00,181096.29
2026-05-04,12:41:00,180033.66
2026-05-04,13:16:00,179128.97
2026-05-04,14:14:00,179461.76
2026-05-04,14:17:00,179461.76
