date,symbol,entry_time,entry_price,exit_time,exit_price,shares,pnl,pnl_pct,exit_reason,hold_minutes,box_top,box_bottom,box_range,rsi_at_entry,bar_volume_at_entry
2026-01-23,DAL,2026-01-23 16:32:00+00:00,67.55,2026-01-23 20:45:00+00:00,67.91,193,69.48,0.5329,time_stop,253.0,71.67,66.85,4.82,32.6,18299.0
2026-01-23,UBER,2026-01-23 18:18:00+00:00,82.17,2026-01-23 20:45:00+00:00,81.88,180,-52.2,-0.3529,time_stop,147.0,85.61,81.47,4.14,31.7,14088.0
2026-01-23,WFC,2026-01-23 15:43:00+00:00,86.71,2026-01-23 20:45:00+00:00,87.0,180,52.2,0.3344,time_stop,302.0,89.7,86.03,3.67,31.1,36255.0
2026-01-27,AFRM,2026-01-27 15:04:00+00:00,68.06,2026-01-27 20:45:00+00:00,68.6,499,269.46,0.7934,time_stop,341.0,74.22,68.0,6.22,22.3,21369.0
2026-01-28,WBD,2026-01-28 15:17:00+00:00,27.94,2026-01-28 20:45:00+00:00,28.03,1253,112.77,0.3221,time_stop,328.0,28.7,27.92,0.78,33.9,82071.0
2026-01-28,PATH,2026-01-28 17:32:00+00:00,14.38,2026-01-28 20:45:00+00:00,14.2,539,-97.02,-1.2517,time_stop,193.0,15.5,14.08,1.42,25.8,19947.0
2026-01-28,USB,2026-01-28 18:01:00+00:00,55.61,2026-01-28 20:45:00+00:00,55.64,329,9.87,0.0539,time_stop,164.0,56.7,55.28,1.42,33.8,15808.0
2026-01-29,JD,2026-01-29 15:54:00+00:00,28.91,2026-01-29 20:45:00+00:00,28.98,854,59.78,0.2421,time_stop,291.0,30.02,28.82,1.2,34.3,27314.0
2026-01-30,PYPL,2026-01-30 16:18:00+00:00,52.29,2026-01-30 20:45:00+00:00,52.63,407,138.38,0.6502,time_stop,267.0,57.12,52.06,5.06,33.3,82107.0
2026-01-30,AAL,2026-01-30 18:17:00+00:00,13.35,2026-01-30 20:45:00+00:00,13.26,813,-73.17,-0.6742,time_stop,148.0,14.78,13.17,1.61,29.0,92564.0
2026-01-30,LI,2026-01-30 16:00:00+00:00,16.76,2026-01-30 20:45:00+00:00,16.62,639,-89.46,-0.8353,time_stop,285.0,17.55,16.53,1.02,27.7,5168.0
2026-02-02,LI,2026-02-02 18:52:00+00:00,16.57,2026-02-02 20:45:00+00:00,16.51,1040,-62.4,-0.3621,time_stop,113.0,17.55,16.46,1.09,30.5,14236.0
2026-02-02,ETSY,2026-02-02 15:59:00+00:00,52.94,2026-02-02 20:45:00+00:00,53.26,301,96.32,0.6045,time_stop,286.0,60.14,52.54,7.6,23.2,6578.0
2026-02-02,GM,2026-02-02 15:30:00+00:00,83.18,2026-02-02 20:45:00+00:00,83.96,169,131.82,0.9377,time_stop,315.0,87.31,82.41,4.9,26.0,15706.0
2026-02-03,LI,2026-02-03 18:14:00+00:00,16.65,2026-02-03 20:45:00+00:00,16.95,734,220.2,1.8018,time_stop,151.0,17.55,16.46,1.09,17.4,10070.0
2026-02-04,LCID,2026-02-04 16:22:00+00:00,10.345,2026-02-04 20:45:00+00:00,10.325,700,-14.0,-0.1933,time_stop,263.0,11.485,10.11,1.375,25.7,20591.0
2026-02-05,WBD,2026-02-05 15:09:00+00:00,26.86,2026-02-05 20:45:00+00:00,26.85,522,-5.22,-0.0372,time_stop,336.0,27.87,26.61,1.26,34.6,56033.0
2026-02-10,BAC,2026-02-10 18:34:00+00:00,54.8,2026-02-10 20:45:00+00:00,55.55,243,182.25,1.3686,time_stop,131.0,56.87,54.25,2.62,26.6,219440.0
2026-02-10,WFC,2026-02-10 18:31:00+00:00,90.51,2026-02-10 20:45:00+00:00,92.15,103,168.92,1.812,time_stop,134.0,95.09,89.02,6.07,23.8,51922.0
2026-02-10,INTC,2026-02-10 18:21:00+00:00,47.55,2026-02-10 20:45:00+00:00,47.16,195,-76.05,-0.8202,time_stop,144.0,51.3,46.76,4.54,32.8,166041.0
2026-02-10,TFC,2026-02-10 16:21:00+00:00,54.56,2026-02-10 20:45:00+00:00,55.12,362,202.72,1.0264,time_stop,264.0,56.2,54.28,1.92,13.0,13745.0
2026-02-11,GME,2026-02-11 15:25:00+00:00,24.17,2026-02-11 20:45:00+00:00,24.17,740,0,0,time_stop,320.0,25.5,24.02,1.48,33.1,97399.0
2026-02-11,INTC,2026-02-11 18:02:00+00:00,47.71,2026-02-11 20:45:00+00:00,48.4,168,115.92,1.4462,time_stop,163.0,51.3,46.76,4.54,29.9,232791.0
2026-02-11,TEVA,2026-02-11 15:25:00+00:00,34.02,2026-02-11 20:45:00+00:00,34.3,741,207.48,0.823,time_stop,320.0,35.27,33.92,1.35,23.3,29737.0
2026-02-11,USB,2026-02-11 18:17:00+00:00,59.19,2026-02-11 20:45:00+00:00,59.21,223,4.46,0.0338,time_stop,148.0,61.19,58.59,2.6,12.0,57997.0
2026-02-11,WFC,2026-02-11 17:00:00+00:00,90.05,2026-02-11 20:45:00+00:00,89.14,100,-91.0,-1.0105,time_stop,225.0,95.09,88.5,6.59,34.2,22578.0
2026-02-11,KEY,2026-02-11 18:51:00+00:00,22.45,2026-02-11 20:45:00+00:00,22.56,764,84.04,0.49,time_stop,114.0,23.35,22.3,1.05,26.9,23753.0
