symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes
SPRC,2026-04-21,32,9,17:51:00,5.56,0.0,5.5461,17:52:00,5.673,trailing_stop,0.1131,8992,1016.55,0.0139,1.0
SPRC,2026-04-21,33,10,18:05:00,5.67,0.0,5.586,18:34:00,5.586,stop_hit,-0.084,8818,-740.71,0.084,29.0
UNHG,2026-04-21,37,9,13:02:00,16.78,0.0,16.6832,13:32:00,16.6832,stop_hit,-0.0968,2979,-288.4,0.0968,30.0
DCX,2026-04-22,24,9,12:38:00,2.09,0.0,2.0749,12:39:00,2.1024,trailing_stop,0.0124,23923,297.84,0.0151,1.0
ARTL,2026-04-24,21,9,09:29:00,4.09,0.0,4.0299,09:30:00,4.2,trailing_stop,0.11,12224,1344.03,0.0601,1.0
MIGI,2026-04-24,40,10,14:27:00,7.08,0.0,7.0324,14:43:00,7.1262,trailing_stop,0.0462,7062,326.18,0.0476,16.0
AKAN,2026-04-28,6,9,04:54:00,11.52,0.0,11.4812,04:56:00,11.6806,trailing_stop,0.1606,4340,697.06,0.0388,2.0
AKAN,2026-04-28,8,10,05:11:00,11.55,0.0,11.5211,05:13:00,11.6729,trailing_stop,0.1229,4329,531.87,0.0289,2.0
AKAN,2026-04-28,9,10,05:20:00,11.52,0.0,11.4912,05:21:00,11.5356,trailing_stop,0.0156,4340,67.7,0.0288,1.0
DRCT,2026-04-28,36,9,15:32:00,2.8599,0.0,2.833,15:59:00,2.833,stop_hit,-0.0269,17483,-470.3,0.0269,27.0
DRCT,2026-04-28,46,9,17:54:00,2.72,0.0,2.6933,18:00:00,2.8166,trailing_stop,0.0966,18382,1776.16,0.0267,6.0
IREZ,2026-04-28,58,9,18:14:00,15.1,0.0,15.0224,18:31:00,15.0224,stop_hit,-0.0776,3311,-257.1,0.0776,17.0
CRWG,2026-04-29,4,9,04:45:00,4.22,0.0,4.1995,05:25:00,4.2547,trailing_stop,0.0347,11848,411.57,0.0205,40.0
CRWG,2026-04-29,23,10,11:51:00,4.7196,0.0,4.6883,11:52:00,4.6883,stop_hit,-0.0313,10594,-332.12,0.0313,1.0
ROLR,2026-04-29,45,9,13:14:00,8.5199,0.0,8.4688,13:16:00,8.5744,trailing_stop,0.0545,5868,320.03,0.0511,2.0
ROLR,2026-04-29,46,10,13:26:00,8.52,0.0,8.4588,13:27:00,8.6011,trailing_stop,0.0811,5868,475.89,0.0612,1.0
SKYQ,2026-04-29,28,10,08:21:00,6.28,0.0,6.2144,08:26:00,6.3972,trailing_stop,0.1172,7961,933.13,0.0656,5.0
SKYQ,2026-04-29,56,9,17:25:00,6.31,0.0,6.2843,17:26:00,6.3471,trailing_stop,0.0371,7923,294.14,0.0257,1.0
LLYX,2026-04-30,19,10,08:33:00,16.45,0.0,16.2892,08:57:00,16.2892,stop_hit,-0.1608,3039,-488.75,0.1608,24.0
LLYX,2026-04-30,21,9,08:43:00,16.36,0.0,16.2692,08:45:00,16.4236,trailing_stop,0.0636,3056,194.4,0.0908,2.0
LLYX,2026-04-30,23,9,08:52:00,16.38,0.0,16.2925,08:57:00,16.2925,stop_hit,-0.0875,3052,-267.15,0.0875,5.0
LLYX,2026-04-30,63,10,08:33:00,16.45,0.0,16.2892,08:57:00,16.2892,stop_hit,-0.1608,3039,-488.75,0.1608,24.0
LLYX,2026-04-30,65,9,08:43:00,16.36,0.0,16.2692,08:45:00,16.4236,trailing_stop,0.0636,3056,194.4,0.0908,2.0
