symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes,slot
RYOJ,2026-01-21,19,7,09:31:00,3.185,0.0,3.0358,09:36:00,3.0358,stop_hit,-0.1492,6702,-1000.0,0.1492,5.0,0
BOXL,2026-01-21,3,7,10:59:00,2.11,0.0,2.1047,11:00:00,2.1374,trailing_stop,0.0274,23696,648.38,0.01,1.0,0
RYOJ,2026-01-21,32,8,11:03:00,3.17,0.0,3.1421,11:04:00,3.1961,trailing_stop,0.0261,15772,411.06,0.0279,1.0,0
MLEC,2026-01-21,10,8,11:14:00,6.78,0.0,6.4838,11:58:00,6.4838,stop_hit,-0.2962,3375,-999.84,0.2962,44.0,0
RYOJ,2026-01-21,36,8,11:57:00,3.27,0.0,3.1521,11:57:00,3.27,session_end,0.0,8481,0.0,0.1179,0.0,1
AQMS,2026-01-21,11,8,14:27:00,5.665,0.0,5.6282,14:28:00,5.6841,trailing_stop,0.0191,8826,168.55,0.0368,1.0,0
AQMS,2026-01-21,12,7,14:48:00,5.66,0.0,5.6359,14:52:00,5.7279,trailing_stop,0.0679,8833,600.09,0.0241,4.0,0
LSTA,2026-01-21,8,7,16:06:00,4.04,0.0,4.0199,16:10:00,4.08,trailing_stop,0.04,12376,494.58,0.0201,4.0,0
LSTA,2026-01-21,10,8,16:19:00,4.06,0.0,4.0299,16:22:00,4.0789,trailing_stop,0.0189,12315,232.14,0.0301,3.0,0
AQMS,2026-01-21,22,7,17:26:00,5.55,0.0,5.4863,17:34:00,5.6381,trailing_stop,0.0881,9009,793.92,0.0637,8.0,0
MLEC,2026-01-21,29,7,17:41:00,6.17,0.0,6.1446,17:43:00,6.1446,stop_hit,-0.0254,8103,-205.82,0.0254,2.0,0
MLEC,2026-01-21,36,7,18:41:00,6.44,0.0,6.4139,18:49:00,6.577,trailing_stop,0.137,7763,1063.24,0.0261,8.0,0
PAVM,2026-01-21,9,7,19:43:00,13.39,0.0,13.1171,19:58:00,13.31,session_end,-0.08,3664,-293.12,0.2729,15.0,0
OGCP,2026-01-22,3,7,11:12:00,6.5,0.0,6.4838,11:17:00,6.6719,trailing_stop,0.1719,7692,1322.06,0.0162,5.0,0
OGCP,2026-01-22,6,8,11:25:00,6.5,0.0,6.4738,11:30:00,6.6569,trailing_stop,0.1569,7692,1206.78,0.0262,5.0,0
IOTR,2026-01-22,12,7,16:46:00,4.9,0.0,4.8878,16:48:00,4.9339,trailing_stop,0.0339,10204,345.66,0.0122,2.0,0
