symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes
MLEC,2026-01-21,29,7,17:41:00,6.17,6.43,6.1446,17:43:00,6.1446,stop_hit,-0.0254,8103,-205.82,0.0254,2.0
MLEC,2026-01-21,36,7,18:41:00,6.44,6.85,6.4139,18:52:00,6.62,time_stop,0.18,7763,1397.34,0.0261,11.0
PAVM,2026-01-21,9,7,19:43:00,13.39,27.5,13.1171,19:54:00,13.4,time_stop,0.01,1832,18.32,0.2729,11.0
RYOJ,2026-01-21,7,9,08:12:00,3.12,3.15,3.0623,08:13:00,3.15,target_hit,0.03,16025,480.75,0.0577,1.0
RYOJ,2026-01-21,19,7,09:31:00,3.185,3.34,3.0358,09:36:00,3.0358,stop_hit,-0.1492,3351,-500.0,0.1492,5.0
RYOJ,2026-01-21,32,8,11:03:00,3.17,3.23,3.1421,11:04:00,3.1421,stop_hit,-0.0279,15772,-439.64,0.0279,1.0
IOTR,2026-01-22,12,7,16:46:00,4.9,5.2,4.8878,16:57:00,4.96,time_stop,0.06,10204,612.24,0.0122,11.0
OGCP,2026-01-22,3,7,11:12:00,6.5,6.68,6.4838,11:15:00,6.68,target_hit,0.18,7692,1384.56,0.0162,3.0
OGCP,2026-01-22,6,8,11:25:00,6.5,6.68,6.4738,11:36:00,6.66,time_stop,0.16,7692,1230.72,0.0262,11.0
SXTP,2026-01-22,11,7,19:19:00,4.93,5.33,4.8977,19:25:00,4.8977,stop_hit,-0.0323,10141,-327.3,0.0323,6.0
SXTP,2026-01-22,13,7,19:42:00,4.89,5.33,4.8678,19:53:00,5.12,time_stop,0.23,10224,2351.52,0.0222,11.0
RVYL,2026-01-23,11,7,17:44:00,5.92,6.2,5.9052,17:55:00,5.98,time_stop,0.06,8445,506.7,0.0148,11.0
ARAI,2026-01-26,25,7,18:16:00,2.21,2.24,2.2047,18:18:00,2.2047,stop_hit,-0.0053,22624,-120.48,0.01,2.0
BATL,2026-01-26,11,7,19:49:00,3.09,3.2,3.0623,19:50:00,3.0623,stop_hit,-0.0277,16181,-447.81,0.0277,1.0
STAI,2026-01-26,3,7,09:01:00,2.08,2.12,2.0748,09:02:00,2.12,target_hit,0.04,24038,961.52,0.01,1.0
CYN,2026-01-27,32,7,15:11:00,2.1,2.11,2.0449,15:12:00,2.0449,stop_hit,-0.0551,9070,-499.98,0.0551,1.0
HIND,2026-01-27,24,8,17:07:00,2.97,3.33,2.9426,17:18:00,2.9806,time_stop,0.0106,16835,178.45,0.0274,11.0
HIND,2026-01-27,30,10,18:00:00,2.97,3.07,2.9526,18:01:00,2.9526,stop_hit,-0.0174,16835,-292.93,0.0174,1.0
SWVL,2026-01-27,6,7,08:19:00,2.07,3.0302,2.015,08:21:00,2.015,stop_hit,-0.055,9082,-499.96,0.055,2.0
SWVL,2026-01-27,9,8,08:30:00,2.02,3.0302,2.005,08:32:00,2.005,stop_hit,-0.015,24752,-371.9,0.015,2.0
SWVL,2026-01-27,24,9,11:07:00,2.07,2.24,1.995,11:15:00,1.995,stop_hit,-0.075,20000,-1500.0,0.075,8.0
AIMD,2026-01-28,4,8,08:01:00,2.19,2.37,2.1347,08:02:00,2.37,target_hit,0.18,18066,3251.88,0.0553,1.0
AIMD,2026-01-28,50,9,19:30:00,2.14,2.19,2.1247,19:34:00,2.1247,stop_hit,-0.0153,23364,-358.05,0.0153,4.0
BBGI,2026-01-28,30,7,16:30:00,5.32,5.7046,5.2369,16:38:00,5.2369,stop_hit,-0.0831,6015,-500.0,0.0831,8.0
BBGI,2026-01-28,32,10,16:46:00,5.3,5.3291,5.2069,16:48:00,5.3291,target_hit,0.0291,9433,274.5,0.093,2.0
BBGI,2026-01-28,38,7,17:26:00,5.43,5.4983,5.2369,17:30:00,5.4983,target_hit,0.0683,2588,176.76,0.1931,4.0
BNAI,2026-01-28,9,7,05:32:00,54.75,55.35,54.6231,05:33:00,54.6231,stop_hit,-0.1269,913,-115.86,0.1269,1.0
BNAI,2026-01-28,10,8,05:49:00,54.83,55.35,54.4535,06:00:00,54.69,time_stop,-0.14,911,-127.54,0.3765,11.0
MRNO,2026-01-28,6,7,12:49:00,2.1,2.4,2.0449,12:52:00,2.0449,stop_hit,-0.0551,9070,-499.98,0.0551,3.0
GCTK,2026-01-29,5,7,11:25:00,2.4474,2.87,2.434,11:36:00,2.54,time_stop,0.0926,20429,1891.73,0.0134,11.0
DZZ,2026-01-30,10,7,05:36:00,4.16,4.75,4.0199,05:50:00,4.05,time_stop,-0.11,3569,-392.59,0.1401,14.0
DZZ,2026-01-30,16,8,06:48:00,4.34,4.35,4.3092,06:58:00,4.3092,stop_hit,-0.0308,11520,-354.82,0.0308,10.0
DZZ,2026-01-30,18,10,07:01:00,4.3,4.35,4.2095,07:16:00,4.2,time_stop,-0.1,11627,-1162.7,0.0905,15.0
PMN,2026-01-30,10,8,18:06:00,13.87,14.16,13.5061,18:17:00,13.55,time_stop,-0.32,2748,-879.36,0.3638,11.0
PMN,2026-01-30,12,8,18:25:00,13.61,14.16,13.5161,18:36:00,13.55,time_stop,-0.06,3673,-220.38,0.0939,11.0
VIVS,2026-01-30,12,9,17:54:00,2.78,2.9792,2.7631,17:56:00,2.7631,stop_hit,-0.0169,17985,-304.4,0.0169,2.0
FATN,2026-02-02,29,10,14:26:00,1.81,1.875,1.7955,14:27:00,1.7955,stop_hit,-0.0145,27624,-400.55,0.0145,1.0
FUSE,2026-02-02,6,7,18:09:00,2.6,2.64,2.5835,18:10:00,2.5835,stop_hit,-0.0165,19230,-316.81,0.0165,1.0
FUSE,2026-02-02,11,9,19:16:00,2.62,2.63,2.6035,19:17:00,2.63,target_hit,0.01,19083,190.83,0.0165,1.0
FUSE,2026-02-02,13,8,19:47:00,2.61,2.63,2.5835,19:52:00,2.63,target_hit,0.02,19157,383.14,0.0265,5.0
IPW,2026-02-02,14,7,13:42:00,4.46,4.48,4.4399,13:43:00,4.4399,stop_hit,-0.0201,11210,-225.63,0.0201,1.0
