date,time_et_or_event,equity
session_open,float,30000.0
2026-04-14,12:00:00,142512.75
2026-04-14,13:56:00,143193.01
2026-04-14,16:00:00,142737.02
2026-04-14,17:54:00,143601.21
2026-04-14,19:09:00,143909.09
2026-04-14,19:26:00,143629.77
2026-04-15,06:36:00,143420.78
2026-04-15,08:02:00,148628.48
2026-04-15,09:23:00,149096.23
2026-04-15,10:47:00,148814.73
2026-04-15,11:04:00,149382.52
2026-04-15,12:18:00,149969.46
2026-04-15,14:48:00,149765.97
2026-04-15,15:40:00,149028.73
2026-04-15,17:28:00,149363.08
2026-04-15,17:47:00,148774.0
2026-04-15,18:56:00,148980.33
2026-04-15,19:24:00,148230.39
2026-04-15,19:46:00,148980.38
2026-04-15,19:59:00,148314.57
2026-04-16,05:29:00,148189.57
2026-04-16,06:08:00,149391.7
2026-04-16,06:39:00,150288.9
2026-04-16,09:22:00,151064.07
2026-04-16,09:43:00,151616.93
2026-04-16,16:45:00,151101.18
2026-04-16,16:46:00,151446.9
2026-04-16,18:02:00,151156.97
2026-04-16,18:27:00,151031.78
2026-04-16,18:40:00,151206.67
2026-04-16,19:29:00,151714.24
2026-04-16,19:37:00,151306.73
2026-04-16,19:54:00,151854.33
2026-04-16,19:59:00,151485.17
2026-04-17,07:24:00,151340.59
2026-04-17,13:56:00,151071.81
2026-04-17,14:02:00,150660.9
2026-04-17,14:21:00,150196.03
2026-04-17,15:49:00,149446.07
2026-04-17,17:23:00,149642.86
2026-04-17,18:18:00,149923.67
2026-04-20,08:40:00,149893.22
2026-04-21,05:02:00,149964.85
2026-04-21,09:23:00,149235.95
2026-04-21,09:30:00,150122.51
2026-04-21,09:44:00,149372.52
2026-04-21,11:18:00,150141.55
2026-04-21,11:23:00,149883.08
2026-04-21,11:30:00,149716.82
2026-04-21,11:43:00,149143.81
2026-04-21,11:43:00,149731.5
2026-04-21,11:51:00,149605.91
2026-04-21,11:53:00,148855.96
2026-04-21,12:02:00,148612.47
2026-04-21,12:21:00,148367.28
2026-04-21,12:36:00,148785.54
2026-04-21,12:44:00,148630.83
2026-04-21,12:50:00,148261.6
2026-04-21,13:01:00,149316.46
2026-04-21,13:17:00,149669.73
2026-04-21,13:32:00,149381.36
2026-04-21,13:46:00,149550.08
2026-04-21,14:05:00,149811.93
2026-04-21,14:55:00,149684.03
2026-04-21,15:21:00,150071.48
2026-04-21,16:20:00,150183.22
2026-04-21,16:22:00,149830.02
2026-04-21,16:39:00,149985.47
2026-04-21,17:11:00,150271.17
2026-04-21,17:52:00,151287.27
2026-04-21,18:23:00,150915.69
2026-04-21,18:34:00,150174.98
2026-04-21,19:15:00,149962.33
2026-04-21,19:42:00,150272.48
2026-04-21,19:53:00,149600.95
2026-04-22,07:00:00,149255.83
2026-04-22,08:11:00,148694.7
2026-04-22,09:05:00,149049.74
2026-04-22,09:22:00,148689.56
2026-04-22,09:25:00,148345.27
2026-04-22,09:46:00,147595.28
2026-04-22,11:08:00,147967.02
2026-04-22,11:10:00,147841.15
2026-04-22,11:23:00,148127.86
2026-04-22,12:39:00,148424.51
2026-04-22,16:40:00,148975.96
2026-04-23,13:50:00,149368.83
2026-04-23,19:58:00,148656.08
2026-04-24,04:56:00,149535.45
2026-04-24,07:02:00,150238.33
2026-04-24,07:11:00,149566.17
2026-04-24,08:56:00,148953.75
2026-04-24,09:30:00,150298.39
2026-04-24,10:24:00,150550.64
2026-04-24,13:04:00,150053.15
2026-04-24,14:51:00,149349.55
2026-04-24,15:28:00,150516.86
2026-04-24,15:48:00,149877.91
2026-04-24,16:19:00,150522.77
2026-04-27,06:17:00,150849.71
2026-04-27,07:48:00,151087.11
2026-04-27,09:08:00,151270.16
2026-04-27,12:38:00,151597.66
2026-04-27,14:35:00,150847.66
2026-04-27,14:45:00,150784.54
2026-04-28,04:56:00,151481.54
2026-04-28,05:13:00,152013.57
2026-04-28,05:21:00,152081.27
2026-04-28,05:40:00,152216.94
2026-04-28,05:46:00,153408.28
2026-04-28,06:21:00,152738.53
2026-04-28,06:38:00,153875.06
2026-04-28,07:17:00,153399.1
2026-04-28,07:45:00,153054.83
2026-04-28,08:14:00,152722.7
2026-04-28,08:20:00,152461.07
2026-04-28,08:50:00,151711.13
2026-04-28,09:04:00,151929.16
2026-04-28,09:25:00,152461.56
2026-04-28,09:25:00,152696.63
2026-04-28,11:57:00,152536.95
2026-04-28,12:31:00,152796.6
