fill_ts,symbol,session_date,winning_strategy,blocked_strategy,blocked_direction,blocked_intended_entry_price
2020-01-14 10:13:00,ORCL,2020-01-14,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-14 10:15:00,MSFT,2020-01-14,ORB-5min,PDH-PDL-Breakout,long,
2020-01-14 10:15:00,F,2020-01-14,ORB-5min,PDH-PDL-Breakout,long,
2020-01-14 10:16:00,ORCL,2020-01-14,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-14 10:20:00,ORCL,2020-01-14,VWAP-Mean-Reversion,Round-Number,short,
2020-01-14 10:29:00,AVGO,2020-01-14,ORB-5min,PDH-PDL-Fade,short,
2020-01-14 10:33:00,NKE,2020-01-14,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-14 10:46:00,ORCL,2020-01-14,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-14 10:51:00,MU,2020-01-14,PDH-PDL-Fade,PDH-PDL-Breakout,short,
2020-01-14 10:54:00,F,2020-01-14,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-14 11:20:00,DIS,2020-01-14,VWAP-Mean-Reversion,PDH-PDL-Fade,long,
2020-01-14 11:27:00,SNAP,2020-01-14,ORB-5min,PDH-PDL-Breakout,long,
2020-01-14 11:48:00,SNAP,2020-01-14,ORB-5min,PDH-PDL-Fade,short,
2020-01-14 12:12:00,ROKU,2020-01-14,PDH-PDL-Breakout,Round-Number,short,
2020-01-14 13:38:00,DIS,2020-01-14,VWAP-Mean-Reversion,Round-Number,long,
2020-01-14 14:00:00,AAL,2020-01-14,PDH-PDL-Breakout,PDH-PDL-Fade,short,
2020-01-15 09:42:00,SNAP,2020-01-15,PDH-PDL-Fade,ORB-5min,long,
2020-01-15 09:42:00,SNAP,2020-01-15,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-15 09:44:00,TSLA,2020-01-15,PDH-PDL-Breakout,PDH-PDL-Fade,long,
2020-01-15 09:52:00,ORCL,2020-01-15,Round-Number,VWAP-Mean-Reversion,short,
2020-01-15 09:57:00,CSCO,2020-01-15,PDH-PDL-Breakout,ORB-5min,long,
2020-01-15 10:00:00,INTC,2020-01-15,PDH-PDL-Fade,VWAP-Mean-Reversion,short,
2020-01-15 10:06:00,AMD,2020-01-15,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-15 10:12:00,WFC,2020-01-15,PDH-PDL-Breakout,ORB-5min,short,
2020-01-15 10:27:00,WFC,2020-01-15,PDH-PDL-Breakout,VWAP-Mean-Reversion,short,
2020-01-15 10:28:00,NVDA,2020-01-15,VWAP-Mean-Reversion,PDH-PDL-Breakout,short,
2020-01-15 10:32:00,MU,2020-01-15,VWAP-Mean-Reversion,ORB-5min,short,
2020-01-15 10:32:00,QCOM,2020-01-15,PDH-PDL-Breakout,Round-Number,long,
2020-01-15 10:33:00,MU,2020-01-15,VWAP-Mean-Reversion,PDH-PDL-Fade,long,
2020-01-15 10:43:00,MSFT,2020-01-15,ORB-5min,PDH-PDL-Breakout,long,
2020-01-15 10:44:00,AMD,2020-01-15,VWAP-Mean-Reversion,PDH-PDL-Fade,short,
2020-01-15 10:47:00,MU,2020-01-15,VWAP-Mean-Reversion,PDH-PDL-Breakout,short,
2020-01-15 11:03:00,MSFT,2020-01-15,ORB-5min,PDH-PDL-Fade,short,
2020-01-15 11:12:00,NVDA,2020-01-15,VWAP-Mean-Reversion,ORB-5min,short,
2020-01-15 11:24:00,CRM,2020-01-15,VWAP-Mean-Reversion,PDH-PDL-Fade,long,
2020-01-15 11:51:00,CRM,2020-01-15,VWAP-Mean-Reversion,PDH-PDL-Breakout,short,
2020-01-15 12:53:00,INTC,2020-01-15,ORB-5min,PDH-PDL-Breakout,short,
2020-01-15 12:59:00,ADBE,2020-01-15,PDH-PDL-Fade,ORB-5min,short,
2020-01-15 12:59:00,ROKU,2020-01-15,ORB-5min,Round-Number,short,
2020-01-15 13:34:00,F,2020-01-15,VWAP-Mean-Reversion,ORB-5min,short,
2020-01-15 13:56:00,F,2020-01-15,VWAP-Mean-Reversion,PDH-PDL-Breakout,short,
2020-01-15 14:01:00,F,2020-01-15,VWAP-Mean-Reversion,PDH-PDL-Fade,long,
2020-01-15 15:13:00,AAPL,2020-01-15,ORB-5min,PDH-PDL-Breakout,short,
2020-01-15 15:14:00,AAPL,2020-01-15,ORB-5min,PDH-PDL-Fade,long,
2020-01-15 15:27:00,ADBE,2020-01-15,PDH-PDL-Fade,PDH-PDL-Breakout,short,
2020-01-16 10:09:00,AAPL,2020-01-16,ORB-5min,PDH-PDL-Fade,short,
2020-01-16 10:09:00,CSCO,2020-01-16,PDH-PDL-Fade,PDH-PDL-Breakout,long,
2020-01-16 10:14:00,AAL,2020-01-16,PDH-PDL-Fade,ORB-5min,long,
2020-01-16 10:14:00,MU,2020-01-16,ORB-5min,PDH-PDL-Breakout,long,
2020-01-16 10:14:00,AMD,2020-01-16,PDH-PDL-Breakout,Round-Number,long,
2020-01-16 10:15:00,QCOM,2020-01-16,Round-Number,ORB-5min,long,
2020-01-16 10:21:00,CRM,2020-01-16,PDH-PDL-Fade,ORB-5min,short,
2020-01-16 10:35:00,ORCL,2020-01-16,VWAP-Mean-Reversion,Round-Number,long,
2020-01-16 10:48:00,CSCO,2020-01-16,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-16 10:52:00,NFLX,2020-01-16,ORB-5min,PDH-PDL-Breakout,short,
2020-01-16 10:59:00,NFLX,2020-01-16,ORB-5min,PDH-PDL-Fade,long,
