strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,secondary_fill
Round-Number,ORCL,2022-04-28,long,2022-04-28T09:51:00,2022-04-28T10:27:00,75.27,74.9,74.9,80.0,49,1000.0,-18.129999999999526,-0.018129999999999525,stop,False
Round-Number,ROKU,2022-04-28,long,2022-04-28T10:16:00,2022-04-28T10:21:00,85.09,84.9,84.9,90.0,1084,1000.0,-205.95999999999754,-0.20595999999999753,stop,False
Round-Number,QCOM,2022-04-28,short,2022-04-28T10:36:00,2022-04-28T10:37:00,140.0,140.1,140.1,135.0,921,1000.0,-92.09999999999476,-0.09209999999999477,stop,False
Round-Number,DIS,2022-04-29,short,2022-04-29T09:34:00,2022-04-29T09:35:00,114.84,115.1,115.1,110.0,381,1000.0,-99.05999999999653,-0.09905999999999654,stop,False
Round-Number,AMD,2022-04-29,long,2022-04-29T09:53:00,2022-04-29T09:54:00,90.16,89.9,89.9,95.0,1777,1000.0,-462.01999999998384,-0.46201999999998383,stop,False
Round-Number,MU,2022-04-29,long,2022-04-29T10:34:00,2022-04-29T10:36:00,70.13,69.9,69.9,75.0,600,1000.0,-137.99999999999386,-0.13799999999999385,stop,True
Round-Number,ROKU,2022-05-02,short,2022-05-02T09:41:00,2022-05-02T09:42:00,94.97,95.1,95.1,90.0,288,1000.0,-37.43999999999869,-0.03743999999999869,stop,False
Round-Number,NKE,2022-05-02,long,2022-05-02T09:56:00,2022-05-02T09:59:00,125.09,124.9,124.9,130.0,46,1000.0,-8.739999999999895,-0.008739999999999895,stop,False
Round-Number,QCOM,2022-05-02,long,2022-05-02T13:05:00,2022-05-02T13:40:00,140.09,139.9,139.9,145.0,436,1000.0,-82.83999999999901,-0.08283999999999901,stop,True
Round-Number,MU,2022-05-02,short,2022-05-02T15:30:00,2022-05-02T15:33:00,69.74,70.1,70.1,65.0,451,1000.0,-162.35999999999973,-0.16235999999999973,stop,True
Round-Number,NKE,2022-05-03,long,2022-05-03T09:35:00,2022-05-03T09:36:00,125.11,124.9,124.9,130.0,160,1000.0,-33.599999999999,-0.033599999999999,stop,False
Round-Number,AMD,2022-05-03,short,2022-05-03T09:49:00,2022-05-03T09:50:00,89.765,90.1,90.1,85.0,2338,1000.0,-783.2299999999854,-0.7832299999999853,stop,False
Round-Number,AMD,2022-05-04,short,2022-05-04T09:46:00,2022-05-04T09:50:00,94.96,95.1,95.1,90.0,6561,1000.0,-918.5400000000037,-0.9185400000000037,stop,False
Round-Number,DIS,2022-05-04,short,2022-05-04T15:07:00,2022-05-04T15:12:00,114.72,115.1,115.1,110.0,186,1000.0,-70.67999999999915,-0.07067999999999916,stop,True
Round-Number,DIS,2022-05-05,short,2022-05-05T09:41:00,2022-05-05T15:55:00,114.8,112.24,115.1,110.0,87,1000.0,222.7200000000002,0.2227200000000002,session_close,False
Round-Number,MU,2022-05-06,long,2022-05-06T09:41:00,2022-05-06T09:45:00,70.07,69.9,69.9,75.0,715,1000.0,-121.54999999999106,-0.12154999999999105,stop,False
Round-Number,AMD,2022-05-06,long,2022-05-06T13:58:00,2022-05-06T14:04:00,95.17,94.9,94.9,100.0,982,1000.0,-265.1399999999961,-0.2651399999999961,stop,True
Round-Number,QCOM,2022-05-09,long,2022-05-09T11:32:00,2022-05-09T11:33:00,135.05,134.9,134.9,140.0,976,1000.0,-146.40000000000555,-0.14640000000000555,stop,False
Round-Number,MU,2022-05-10,short,2022-05-10T10:00:00,2022-05-10T10:06:00,69.83,70.1,70.1,65.0,489,1000.0,-132.02999999999804,-0.13202999999999804,stop,False
