symbol,date,fund_gap_pct,fund_float_shares,fund_price_at_sim_start,sm_new_high_count_30m,sm_new_high_cadence_avg_sec,sm_new_high_cadence_stdev_sec,sm_pullback_count_30m,sm_pullback_depth_avg_pct,sm_pullback_depth_max_pct,sm_pullback_recovery_avg_sec,sm_vol_spike_count_30m,sm_vol_total_30m,sm_vol_first_5m,sm_vol_last_5m_of_30,sm_vol_decay_ratio,sm_green_bar_ratio_30m,sm_max_consecutive_green,sm_max_consecutive_red,sm_price_range_30m_pct,sm_upper_wick_ratio_avg,sm_upper_wick_ratio_last_10m,sm_body_ratio_avg,sm_body_ratio_last_10m,sm_pct_bars_above_vwap_30m,sm_vwap_cross_count_30m,sm_max_vwap_distance_pct,sm_price_at_5m,sm_price_at_10m,sm_price_at_15m,sm_price_at_30m,sm_price_at_60m,sm_high_at_30m,sm_high_at_60m,sm_low_at_30m,sm_low_at_60m,trade_num,entry_price,entry_time,stop,r,score,score_detail,tags,exit_price,exit_time,exit_reason,pnl,r_multiple,qty,hold_time_sec,peak_price,peak_time,peak_unrealized_r,time_to_peak_sec,drawdown_from_peak_at_exit_pct,price_1m_after_exit,price_5m_after_exit,price_10m_after_exit,price_30m_after_exit,high_after_exit_30m,low_after_exit_30m,left_on_table_pct
ALMS,2026-01-06,-2.5683789192795183,66.268932,11.74,0,0.0,0.0,0,0.0,0.0,0.0,1,4644071,1241696,1492763,1.202,0.43,2,6,104.99,0.258,0.212,0.445,0.368,0.73,1,32.1,15.49,15.49,15.49,15.49,16.0507,,19.29,,10.0,1,16.47,08:36,16.48,0.32,11.0,macd=5.0*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",17.015,08:36,bearish_engulfing_exit_full,1702.58,1.7,3124,0,17.44,08:36,3.03,0,2.44,16.96,17.3198,17.9487,19.98,19.99,16.91,84.5
ALMS,2026-01-06,-2.5683789192795183,66.268932,11.74,0,0.0,0.0,0,0.0,0.0,0.0,1,4644071,1241696,1492763,1.202,0.43,2,6,104.99,0.258,0.212,0.445,0.368,0.73,1,32.1,15.49,15.49,15.49,15.49,16.0507,,19.29,,10.0,2,19.15,08:54,17.99,1.16,11.0,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'whole']",18.83,08:54,bearish_engulfing_exit_full,-275.84,-0.28,862,0,19.21,08:54,0.05,0,1.98,18.11,19.48,19.49,22.18,22.35,18.0,100.0
ALMS,2026-01-06,-2.5683789192795183,66.268932,11.74,0,0.0,0.0,0,0.0,0.0,0.0,1,4644071,1241696,1492763,1.202,0.43,2,6,104.99,0.258,0.212,0.445,0.368,0.73,1,32.1,15.49,15.49,15.49,15.49,16.0507,,19.29,,10.0,3,19.76,09:05,19.06,0.7,12.5,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",20.25,09:07,bearish_engulfing_exit_full,699.72,0.7,1428,120,20.54,09:07,1.11,120,1.41,20.65,21.2899,20.86,20.0887,22.35,19.45,81.1
ALMS,2026-01-06,-2.5683789192795183,66.268932,11.74,0,0.0,0.0,0,0.0,0.0,0.0,1,4644071,1241696,1492763,1.202,0.43,2,6,104.99,0.258,0.212,0.445,0.368,0.73,1,32.1,15.49,15.49,15.49,15.49,16.0507,,19.29,,10.0,4,20.56,09:08,19.9,0.66,12.5,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",21.405,09:13,parabolic_exhaustion_exit_full,1280.18,1.28,1515,300,21.7,09:13,1.73,300,1.36,21.4,20.61,21.84,19.28,22.35,18.5,52.8
ALMS,2026-01-09,-2.468312208138766,66.268932,18.54,1,0.0,0.0,1,5.36,5.36,11760.0,4,27893,2428,145,0.06,0.93,10,1,5.66,0.121,0.0,0.852,0.978,0.73,5,2.12,18.54,18.54,18.54,18.54,18.3,18.86,18.86,18.44,18.4,1,19.02,10:43,18.91,0.11,11.3,macd=5.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",18.89,10:44,stop_hit,-410.02,-1.18,3154,60,19.09,10:43,0.64,0,1.05,18.909,19.24,18.95,18.98,19.3793,18.52,100.0
ALMS,2026-01-09,-2.468312208138766,66.268932,18.54,1,0.0,0.0,1,5.36,5.36,11760.0,4,27893,2428,145,0.06,0.93,10,1,5.66,0.121,0.0,0.852,0.978,0.73,5,2.12,18.54,18.54,18.54,18.54,18.3,18.86,18.86,18.44,18.4,2,19.35,10:51,19.113,0.237,12.5,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",19.11,10:52,stop_hit,-744.0,-1.01,3100,60,19.35,,0.0,0,1.24,18.95,18.9919,18.735,18.94,19.2521,18.52,0.0
ALMS,2026-02-13,-2.301534356237496,66.268932,26.85,0,0.0,0.0,0,0.0,0.0,0.0,6,36820,358,1645,4.595,0.73,18,3,5.08,0.368,0.461,0.548,0.422,0.6,12,1.92,26.86,26.86,26.86,26.86,26.3,,26.86,,26.85,1,27.51,10:22,27.19,0.32,12.5,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",27.5,10:36,parabolic_exhaustion_exit_full,-21.81,-0.03,2181,840,27.69,10:22,0.56,0,0.69,27.5,27.11,27.45,27.8385,27.99,27.07,100.0
ALMS,2026-02-13,-2.301534356237496,66.268932,26.85,0,0.0,0.0,0,0.0,0.0,0.0,6,36820,358,1645,4.595,0.73,18,3,5.08,0.368,0.461,0.548,0.422,0.6,12,1.92,26.86,26.86,26.86,26.86,26.3,,26.86,,26.85,2,27.99,11:02,27.665,0.325,12.0,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g']",27.89,11:02,bearish_engulfing_exit_full,-214.3,-0.31,2143,0,27.99,,0.0,0,0.36,27.87,27.7915,27.745,27.793,28.0,27.57,100.0
ANNA,2026-02-27,-16.716417910447763,9.387147,3.93,6,192.0,130.1,2,2.62,3.97,390.0,8,266095,2673,49285,18.438,0.4,4,13,68.33,0.214,0.253,0.508,0.404,0.6,1,17.85,3.9,3.93,4.06,3.1381,3.5,5.05,5.05,3.0,2.84,1,4.08,08:46,3.97,0.11,11.3,macd=5.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",3.9603,08:46,stop_hit,-1088.07,-1.09,9090,0,4.08,,0.0,0,2.93,4.13,3.9,3.28,3.35,5.05,2.84,100.0
ANPA,2026-01-06,-18.515625000000007,12.5,22.28,0,0.0,0.0,0,0.0,0.0,0.0,7,1819,24,283,11.792,0.6,4,4,18.37,0.252,0.251,0.563,0.583,0.77,5,8.63,21.88,21.88,21.88,21.88,21.88,,,,,1,23.28,09:51,23.17,0.11,4.0,macd=5.0*0.6;R>=0.08=+1,[],22.62,09:54,max_loss_hit,-1700.82,-6.0,2577,180,23.5,09:51,2.0,0,3.74,23.4,23.4,23.7,22.93,23.7,22.88,100.0
