strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason
Round-Number,ROKU,2023-12-22,short,2023-12-22T09:39:00,2023-12-22T09:42:00,94.81,95.1,95.1,90.0,510,1000.0,-147.89999999999594,-0.14789999999999595,stop
Round-Number,CSCO,2023-12-26,long,2023-12-26T09:34:00,2023-12-26T15:55:00,50.18,50.25,49.9,55.0,230,1000.0,16.100000000000065,0.016100000000000066,session_close
Round-Number,QCOM,2023-12-27,long,2023-12-27T14:12:00,2023-12-27T15:55:00,145.15,145.54,144.9,150.0,184,1000.0,71.75999999999749,0.07175999999999749,session_close
Round-Number,DIS,2023-12-29,long,2023-12-29T09:36:00,2023-12-29T12:17:00,90.21,89.9,89.9,95.0,213,1000.0,-66.02999999999746,-0.06602999999999745,stop
Round-Number,QCOM,2023-12-29,short,2023-12-29T10:02:00,2023-12-29T10:03:00,145.01,145.0,145.1,145.0,140,1000.0,1.3999999999987267,0.0013999999999987267,target
Round-Number,ROKU,2024-01-02,long,2024-01-02T09:36:00,2024-01-02T09:43:00,90.03,89.9,89.9,95.0,176,1000.0,-22.8799999999992,-0.0228799999999992,stop
Round-Number,DIS,2024-01-02,short,2024-01-02T09:42:00,2024-01-02T10:00:00,89.86,90.1,90.1,85.0,307,1000.0,-73.67999999999843,-0.07367999999999843,stop
Round-Number,CSCO,2024-01-03,long,2024-01-03T09:35:00,2024-01-03T15:55:00,50.01,50.5,49.9,55.0,397,1000.0,194.5300000000008,0.19453000000000079,session_close
Round-Number,CSCO,2024-01-04,long,2024-01-04T09:57:00,2024-01-04T15:55:00,50.15,50.065,49.9,55.0,226,1000.0,-19.210000000000193,-0.019210000000000192,session_close
Round-Number,CSCO,2024-01-05,long,2024-01-05T09:33:00,2024-01-05T09:55:00,50.01,49.9,49.9,55.0,1073,1000.0,-118.02999999999939,-0.11802999999999939,stop
Round-Number,AMD,2024-01-11,short,2024-01-11T09:39:00,2024-01-11T09:40:00,149.8,150.1,150.1,145.0,3333,1000.0,-999.8999999999431,-0.9998999999999432,stop
Round-Number,QCOM,2024-01-12,long,2024-01-12T10:06:00,2024-01-12T10:07:00,140.02,139.9,139.9,145.0,236,1000.0,-28.320000000001073,-0.028320000000001073,stop
Round-Number,CSCO,2024-01-16,long,2024-01-16T09:37:00,2024-01-16T15:55:00,50.23,50.545,49.9,55.0,825,1000.0,259.875000000004,0.25987500000000396,session_close
Round-Number,QCOM,2024-01-16,long,2024-01-16T10:34:00,2024-01-16T11:10:00,140.19,139.9,139.9,145.0,127,1000.0,-36.82999999999899,-0.03682999999999899,stop
Round-Number,MU,2024-01-16,short,2024-01-16T10:59:00,2024-01-16T11:23:00,84.865,85.1,85.1,80.0,526,1000.0,-123.6099999999997,-0.1236099999999997,stop
Round-Number,MU,2024-01-18,long,2024-01-18T10:31:00,2024-01-18T12:08:00,85.23,84.9,84.9,90.0,260,1000.0,-85.79999999999956,-0.08579999999999956,stop
Round-Number,ORCL,2024-01-22,short,2024-01-22T09:51:00,2024-01-22T11:05:00,109.76,110.1,110.1,105.0,152,1000.0,-51.67999999999836,-0.05167999999999836,stop
Round-Number,ROKU,2024-01-22,long,2024-01-22T10:40:00,2024-01-22T10:41:00,90.03,89.9,89.9,95.0,178,1000.0,-23.13999999999919,-0.02313999999999919,stop
Round-Number,ROKU,2024-01-23,short,2024-01-23T09:43:00,2024-01-23T10:09:00,89.85,90.1,90.1,85.0,156,1000.0,-39.0,-0.039,stop
Round-Number,DIS,2024-01-26,long,2024-01-26T09:39:00,2024-01-26T09:47:00,95.04,94.9,94.9,100.0,180,1000.0,-25.200000000000102,-0.0252000000000001,stop
Round-Number,WFC,2024-01-29,long,2024-01-29T09:35:00,2024-01-29T15:55:00,50.24,50.34,49.9,55.0,268,1000.0,26.80000000000038,0.026800000000000383,session_close
Round-Number,ROKU,2024-01-29,long,2024-01-29T10:35:00,2024-01-29T12:07:00,90.2,89.9,89.9,95.0,96,1000.0,-28.799999999999727,-0.02879999999999973,stop
Round-Number,QCOM,2024-01-29,short,2024-01-29T10:41:00,2024-01-29T15:55:00,149.78,149.325,150.1,145.0,253,1000.0,115.11500000000316,0.11511500000000316,session_close
Round-Number,ROKU,2024-02-01,short,2024-02-01T09:45:00,2024-02-01T09:52:00,89.97,90.1,90.1,85.0,185,1000.0,-24.04999999999916,-0.02404999999999916,stop
Round-Number,NKE,2024-02-02,short,2024-02-02T09:44:00,2024-02-02T09:46:00,99.93,100.1,100.1,95.0,157,1000.0,-26.689999999998037,-0.026689999999998038,stop
Round-Number,ORCL,2024-02-05,short,2024-02-05T10:22:00,2024-02-05T10:25:00,114.79,115.1,115.1,110.0,110,1000.0,-34.09999999999869,-0.03409999999999869,stop
Round-Number,ROKU,2024-02-09,long,2024-02-09T09:40:00,2024-02-09T11:13:00,95.06,94.9,94.9,100.0,269,1000.0,-43.03999999999908,-0.043039999999999086,stop
Round-Number,ROKU,2024-02-13,short,2024-02-13T09:56:00,2024-02-13T10:01:00,94.79,95.1,95.1,90.0,439,1000.0,-136.08999999999475,-0.13608999999999474,stop
Round-Number,NKE,2024-02-14,short,2024-02-14T09:41:00,2024-02-14T09:52:00,104.83,105.1,105.1,100.0,204,1000.0,-55.07999999999919,-0.055079999999999185,stop
Round-Number,MU,2024-02-20,short,2024-02-20T10:08:00,2024-02-20T13:59:00,79.88,80.1,80.1,75.0,562,1000.0,-123.63999999999936,-0.12363999999999936,stop
Round-Number,MU,2024-02-22,long,2024-02-22T10:18:00,2024-02-22T15:55:00,85.235,85.93,84.9,90.0,591,1000.0,410.7450000000044,0.41074500000000436,session_close
Round-Number,ROKU,2024-02-26,short,2024-02-26T09:35:00,2024-02-26T09:36:00,64.78,65.1,65.1,60.0,190,1000.0,-60.799999999998704,-0.0607999999999987,stop
Round-Number,MU,2024-02-26,short,2024-02-26T09:58:00,2024-02-26T10:02:00,89.78,90.1,90.1,85.0,1544,1000.0,-494.07999999998947,-0.49407999999998947,stop
Round-Number,NKE,2024-02-26,long,2024-02-26T11:11:00,2024-02-26T12:00:00,105.07,104.9,104.9,110.0,25,1000.0,-4.249999999999687,-0.004249999999999687,stop
Round-Number,NKE,2024-02-27,short,2024-02-27T09:45:00,2024-02-27T09:50:00,104.76,105.1,105.1,100.0,111,1000.0,-37.7399999999988,-0.0377399999999988,stop
Round-Number,WFC,2024-02-28,short,2024-02-28T09:37:00,2024-02-28T09:45:00,54.89,55.1,55.1,50.0,352,1000.0,-73.9200000000003,-0.0739200000000003,stop
Round-Number,WFC,2024-02-29,long,2024-02-29T09:33:00,2024-02-29T15:55:00,55.02,55.605,54.9,60.0,53,1000.0,31.00499999999967,0.031004999999999668,session_close
Round-Number,MU,2024-02-29,short,2024-02-29T09:35:00,2024-02-29T13:12:00,89.92,90.1,90.1,85.0,758,1000.0,-136.4399999999944,-0.1364399999999944,stop
Round-Number,WFC,2024-03-01,long,2024-03-01T09:47:00,2024-03-01T09:53:00,55.11,54.9,54.9,60.0,385,1000.0,-80.85000000000034,-0.08085000000000034,stop
Round-Number,NKE,2024-03-04,long,2024-03-04T10:16:00,2024-03-04T10:56:00,100.06,99.9,99.9,105.0,97,1000.0,-15.51999999999967,-0.01551999999999967,stop
Round-Number,DIS,2024-03-07,short,2024-03-07T10:42:00,2024-03-07T13:27:00,109.89,110.1,110.1,105.0,707,1000.0,-148.4699999999956,-0.1484699999999956,stop
Round-Number,ROKU,2024-03-11,short,2024-03-11T09:39:00,2024-03-11T09:40:00,64.83,65.1,65.1,60.0,46,1000.0,-12.419999999999817,-0.012419999999999817,stop
Round-Number,MU,2024-03-11,long,2024-03-11T10:34:00,2024-03-11T10:37:00,95.13,94.9,94.9,100.0,660,1000.0,-151.79999999999325,-0.15179999999999325,stop
Round-Number,CSCO,2024-03-11,long,2024-03-11T11:54:00,2024-03-11T15:55:00,50.085,50.235,49.9,55.0,451,1000.0,67.64999999999935,0.06764999999999935,session_close
Round-Number,CSCO,2024-03-13,long,2024-03-13T09:48:00,2024-03-13T10:05:00,50.04,49.9,49.9,55.0,227,1000.0,-31.78000000000013,-0.03178000000000013,stop
